Player,Country,Pos,Birthday,Age,Caps,Club,Club Country,year
Javier Pastore,argentina,MF,1989-06-20,20,1,Palermo,italy,2010
Kostas Chalkias,greece,GK,1974-05-30,36,27,PAOK,greece,2010
Giourkas Seitaridis,greece,DF,1981-06-04,29,69,Panathinaikos,greece,2010
Christos Patsatzoglou,greece,DF,1979-03-19,31,43,Omonia,cyprus,2010
Nikos Spiropoulos,greece,MF,1983-10-10,26,19,Panathinaikos,greece,2010
Vangelis Moras,greece,DF,1981-08-18,28,11,Bologna,italy,2010
Alexandros Tziolis,greece,MF,1985-02-13,25,19,Siena,italy,2010
Georgios Samaras,greece,FW,1985-02-21,25,34,Celtic,scotland,2010
Avraam Papadopoulos,greece,DF,1984-12-03,25,14,Olympiacos,greece,2010
Angelos Charisteas,greece,FW,1980-02-09,30,84,1. FC Nürnberg,germany,2010
Giorgos Karagounis,greece,MF,1977-03-06,33,93,Panathinaikos,greece,2010
Loukas Vyntra,greece,DF,1981-02-05,29,29,Panathinaikos,greece,2010
Alexandros Tzorvas,greece,GK,1982-08-12,27,8,Panathinaikos,greece,2010
Michalis Sifakis,greece,GK,1984-09-09,25,2,Aris,greece,2010
Dimitris Salpingidis,greece,FW,1981-08-18,28,36,Panathinaikos,greece,2010
Vasilis Torosidis,greece,DF,1985-06-10,25,26,Olympiacos,greece,2010
Sotirios Kyrgiakos,greece,DF,1979-07-23,30,58,Liverpool,england,2010
Theofanis Gekas,greece,FW,1980-05-23,30,47,Hertha BSC,germany,2010
Sotiris Ninis,greece,MF,1990-04-03,20,4,Panathinaikos,greece,2010
Sokratis Papastathopoulos,greece,DF,1988-06-09,22,10,Genoa,italy,2010
Pantelis Kapetanos,greece,FW,1983-06-08,27,3,Steaua București,romania,2010
Kostas Katsouranis,greece,MF,1979-06-21,30,69,Panathinaikos,greece,2010
Stelios Malezas,greece,DF,1985-03-11,25,0,PAOK,greece,2010
Sakis Prittas,greece,MF,1979-01-09,31,0,Aris,greece,2010
Vincent Enyeama,nigeria,GK,1982-08-29,27,51,Hapoel Tel Aviv,israel,2010
Joseph Yobo,nigeria,DF,1980-09-06,29,64,Everton,england,2010
Taye Taiwo,nigeria,DF,1985-04-16,25,35,Marseille,france,2010
Nwankwo Kanu,nigeria,FW,1976-08-01,33,72,Portsmouth,england,2010
Rabiu Afolabi,nigeria,DF,1980-04-18,30,12,Red Bull Salzburg,austria,2010
Danny Shittu,nigeria,DF,1980-09-02,29,23,Bolton Wanderers,england,2010
John Utaka,nigeria,FW,1982-01-08,28,41,Portsmouth,england,2010
Yakubu,nigeria,FW,1982-11-22,27,47,Everton,england,2010
Obafemi Martins,nigeria,FW,1984-10-28,25,27,VfL Wolfsburg,germany,2010
Brown Ideye,nigeria,FW,1988-10-10,21,0,Sochaux,france,2010
Peter Odemwingie,nigeria,FW,1981-07-15,28,43,Lokomotiv Moscow,russia,2010
Kalu Uche,nigeria,FW,1982-11-15,27,18,Almería,spain,2010
Ayila Yussuf,nigeria,MF,1984-11-04,25,24,Dynamo Kyiv,ukraine,2010
Sani Kaita,nigeria,MF,1986-05-02,24,16,Alania Vladikavkaz,russia,2010
Lukman Haruna,nigeria,MF,1990-04-12,20,5,Monaco,france,2010
Austin Ejide,nigeria,GK,1984-04-08,26,16,Hapoel Petah Tikva,israel,2010
Chidi Odiah,nigeria,DF,1983-12-17,26,21,CSKA Moscow,russia,2010
Victor Obinna,nigeria,FW,1987-03-25,23,30,Málaga,spain,2010
Chinedu Obasi,nigeria,FW,1986-06-01,24,17,1899 Hoffenheim,germany,2010
Dickson Etuhu,nigeria,MF,1982-06-08,28,11,Fulham,england,2010
Elderson Echiéjilé,nigeria,DF,1988-01-20,22,9,Rennes,france,2010
Dele Adeleye,nigeria,DF,1988-12-25,21,5,Sparta Rotterdam,netherlands,2010
Dele Aiyenugba,nigeria,GK,1983-11-20,26,9,Bnei Yehuda,israel,2010
Lee Woon-jae,korea republic,GK,1973-04-26,37,130,Suwon Samsung Bluewings,korea republic,2010
Oh Beom-seok,korea republic,DF,1984-07-29,25,37,Ulsan Hyundai,korea republic,2010
Kim Hyung-il,korea republic,DF,1984-04-27,26,2,Pohang Steelers,korea republic,2010
Cho Yong-hyung,korea republic,MF,1983-11-03,26,31,Jeju United,korea republic,2010
Kim Nam-il,korea republic,MF,1977-03-14,33,92,Tom Tomsk,russia,2010
Kim Bo-kyung,korea republic,MF,1989-10-06,20,6,Oita Trinita,japan,2010
Park Ji-sung,korea republic,MF,1981-02-25,29,88,Manchester United,england,2010
Kim Jung-woo,korea republic,FW,1982-05-09,28,54,Gwangju Sangmu,korea republic,2010
Ahn Jung-hwan,korea republic,FW,1976-01-27,34,70,Dalian Shide,china pr,2010
Park Chu-young,korea republic,FW,1985-07-10,24,40,Monaco,france,2010
Lee Seung-yeoul,korea republic,FW,1989-03-06,21,8,FC Seoul,korea republic,2010
Lee Young-pyo,korea republic,DF,1977-04-23,33,112,Al-Hilal,saudi arabia,2010
Kim Jae-sung,korea republic,MF,1983-10-03,26,7,Pohang Steelers,korea republic,2010
Lee Jung-soo,korea republic,DF,1980-01-08,30,24,Kashima Antlers,japan,2010
Kim Dong-jin,korea republic,DF,1982-01-29,28,61,Ulsan Hyundai,korea republic,2010
Ki Sung-yong,korea republic,MF,1989-01-24,21,21,Celtic,scotland,2010
Lee Chung-yong,korea republic,MF,1988-07-02,21,23,Bolton Wanderers,england,2010
Jung Sung-ryong,korea republic,GK,1985-01-04,25,15,Seongnam Ilhwa Chunma,korea republic,2010
Yeom Ki-hun,korea republic,FW,1983-03-30,27,33,Suwon Samsung Bluewings,korea republic,2010
Lee Dong-gook,korea republic,FW,1979-04-29,31,83,Jeonbuk Hyundai Motors,korea republic,2010
Kim Young-kwang,korea republic,GK,1983-06-28,26,14,Ulsan Hyundai,korea republic,2010
Cha Du-ri,korea republic,DF,1980-07-25,29,46,SC Freiburg,germany,2010
Kang Min-soo,korea republic,DF,1986-02-14,24,31,Suwon Samsung Bluewings,korea republic,2010
Lounès Gaouaoui,algeria,GK,1977-09-28,32,48,ASO Chlef,algeria,2010
Madjid Bougherra,algeria,DF,1982-10-07,27,41,Rangers,scotland,2010
Nadir Belhadj,algeria,DF,1982-06-18,27,45,Portsmouth,england,2010
Antar Yahia,algeria,DF,1982-03-21,28,44,VfL Bochum,germany,2010
Rafik Halliche,algeria,DF,1986-09-02,23,17,Nacional,portugal,2010
Yazid Mansouri,algeria,MF,1978-02-25,32,67,Lorient,france,2010
Ryad Boudebouz,algeria,MF,1990-02-19,20,2,Sochaux,france,2010
Medhi Lacen,algeria,MF,1984-01-05,26,3,Racing Santander,spain,2010
Abdelkader Ghezzal,algeria,FW,1984-12-05,25,19,Siena,italy,2010
Rafik Saïfi,algeria,FW,1975-02-07,35,62,Istres,france,2010
Rafik Djebbour,algeria,FW,1984-03-08,26,16,AEK Athens,greece,2010
Habib Bellaïd,algeria,DF,1986-03-28,24,1,Eintracht Frankfurt,germany,2010
Karim Matmour,algeria,FW,1985-06-25,24,23,Borussia Mönchengladbach,germany,2010
Abdelkader Laïfaoui,algeria,DF,1981-07-29,28,7,ES Sétif,algeria,2010
Karim Ziani,algeria,MF,1982-08-17,27,55,VfL Wolfsburg,germany,2010
Faouzi Chaouchi,algeria,GK,1984-12-05,25,10,ES Sétif,algeria,2010
Adlène Guedioura,algeria,MF,1985-11-12,24,2,Wolverhampton Wanderers,england,2010
Carl Medjani,algeria,DF,1985-05-15,25,0,Ajaccio,france,2010
Hassan Yebda,algeria,MF,1984-04-14,26,9,Portsmouth,england,2010
Djamel Mesbah,algeria,DF,1984-10-09,25,1,Lecce,italy,2010
Foued Kadir,algeria,MF,1983-12-05,26,2,Valenciennes,france,2010
Djamel Abdoun,algeria,MF,1986-02-14,24,7,Nantes,france,2010
Raïs M'Bohli,algeria,GK,1986-04-25,24,1,Slavia Sofia,bulgaria,2010
David James,england,GK,1970-08-01,39,50,Portsmouth,england,2010
Glen Johnson,england,DF,1984-08-23,25,22,Liverpool,england,2010
Ashley Cole,england,DF,1980-12-20,29,78,Chelsea,england,2010
Steven Gerrard,england,MF,1980-05-30,30,80,Liverpool,england,2010
Michael Dawson,england,DF,1983-11-18,26,0,Tottenham Hotspur,england,2010
John Terry,england,DF,1980-12-07,29,60,Chelsea,england,2010
Aaron Lennon,england,MF,1987-04-16,23,17,Tottenham Hotspur,england,2010
Frank Lampard,england,MF,1978-06-20,31,78,Chelsea,england,2010
Peter Crouch,england,FW,1981-01-30,29,38,Tottenham Hotspur,england,2010
Wayne Rooney,england,FW,1985-10-24,24,60,Manchester United,england,2010
Joe Cole,england,MF,1981-11-08,28,54,Chelsea,england,2010
Robert Green,england,GK,1980-01-18,30,10,West Ham United,england,2010
Stephen Warnock,england,DF,1981-12-12,28,1,Aston Villa,england,2010
Gareth Barry,england,MF,1981-02-23,29,36,Manchester City,england,2010
Matthew Upson,england,DF,1979-04-18,31,19,West Ham United,england,2010
James Milner,england,MF,1986-01-04,24,8,Aston Villa,england,2010
Shaun Wright-Phillips,england,MF,1981-10-25,28,31,Manchester City,england,2010
Jamie Carragher,england,DF,1978-01-28,32,36,Liverpool,england,2010
Jermain Defoe,england,FW,1982-10-07,27,39,Tottenham Hotspur,england,2010
Ledley King,england,DF,1980-10-12,29,20,Tottenham Hotspur,england,2010
Emile Heskey,england,FW,1978-01-11,32,58,Aston Villa,england,2010
Michael Carrick,england,MF,1981-07-28,28,22,Manchester United,england,2010
Joe Hart,england,GK,1987-04-19,23,3,Birmingham City,england,2010
Samir Handanović,slovenia,GK,1984-07-14,25,39,Udinese,italy,2010
Mišo Brečko,slovenia,DF,1984-05-01,26,31,1. FC Köln,germany,2010
Elvedin Džinić,slovenia,DF,1985-08-25,24,0,Maribor,slovenia,2010
Marko Šuler,slovenia,DF,1983-03-09,27,17,Gent,belgium,2010
Boštjan Cesar,slovenia,DF,1982-07-09,27,43,Grenoble,france,2010
Branko Ilić,slovenia,DF,1983-02-06,27,37,Lokomotiv Moscow,russia,2010
Nejc Pečnik,slovenia,FW,1986-01-03,24,8,Nacional,portugal,2010
Robert Koren,slovenia,MF,1980-09-20,29,46,West Bromwich Albion,england,2010
Zlatan Ljubijankić,slovenia,FW,1983-12-15,26,17,Gent,belgium,2010
Valter Birsa,slovenia,FW,1986-08-07,23,34,Auxerre,france,2010
Milivoje Novaković,slovenia,FW,1979-05-18,31,38,1. FC Köln,germany,2010
Jasmin Handanović,slovenia,GK,1978-01-28,32,3,Mantova,italy,2010
Bojan Jokić,slovenia,DF,1986-05-17,24,34,Chievo,italy,2010
Zlatko Dedić,slovenia,FW,1984-05-10,26,24,VfL Bochum,germany,2010
Rene Krhin,slovenia,MF,1990-05-21,20,4,Internazionale,italy,2010
Aleksander Šeliga,slovenia,GK,1980-02-01,30,1,Sparta Rotterdam,netherlands,2010
Andraž Kirm,slovenia,MF,1984-09-06,25,26,Wisła Kraków,poland,2010
Aleksandar Radosavljević,slovenia,MF,1979-04-25,31,15,Larissa,greece,2010
Suad Fileković,slovenia,DF,1978-09-16,31,14,Maribor,slovenia,2010
Andrej Komac,slovenia,MF,1979-12-04,30,41,Maccabi Tel Aviv,israel,2010
Dalibor Stevanović,slovenia,MF,1984-09-27,25,15,Vitesse,netherlands,2010
Matej Mavrič,slovenia,DF,1979-01-29,31,32,TuS Koblenz,germany,2010
Tim Matavž,slovenia,FW,1989-01-13,21,1,Groningen,netherlands,2010
Tim Howard,usa,GK,1979-03-06,31,51,Everton,england,2010
Jonathan Spector,usa,DF,1986-03-01,24,25,West Ham United,england,2010
Carlos Bocanegra,usa,DF,1979-05-25,31,79,Rennes,france,2010
Michael Bradley,usa,MF,1987-07-31,22,43,Borussia Mönchengladbach,germany,2010
Oguchi Onyewu,usa,DF,1982-05-13,28,54,Milan,italy,2010
Steve Cherundolo,usa,DF,1979-02-19,31,60,Hannover 96,germany,2010
DaMarcus Beasley,usa,MF,1982-05-24,28,92,Rangers,scotland,2010
Clint Dempsey,usa,MF,1983-03-09,27,62,Fulham,england,2010
Herculez Gomez,usa,FW,1982-04-06,28,4,Puebla,mexico,2010
Landon Donovan,usa,MF,1982-03-04,28,123,LA Galaxy,usa,2010
Stuart Holden,usa,MF,1985-08-01,24,14,Bolton Wanderers,england,2010
Jonathan Bornstein,usa,DF,1984-11-07,25,32,Chivas USA,usa,2010
Ricardo Clark,usa,MF,1983-03-10,27,29,Eintracht Frankfurt,germany,2010
Edson Buddle,usa,FW,1981-05-21,29,3,LA Galaxy,usa,2010
Jay DeMerit,usa,DF,1979-12-04,30,19,Watford,england,2010
José Francisco Torres,usa,MF,1987-10-29,22,10,Pachuca,mexico,2010
Jozy Altidore,usa,FW,1989-11-06,20,25,Hull City,england,2010
Brad Guzan,usa,GK,1984-09-09,25,16,Aston Villa,england,2010
Maurice Edu,usa,MF,1986-04-18,24,13,Rangers,scotland,2010
Robbie Findley,usa,FW,1985-08-04,24,6,Real Salt Lake,usa,2010
Clarence Goodson,usa,DF,1982-05-17,28,14,Start,norway,2010
Benny Feilhaber,usa,MF,1985-01-19,25,32,AGF,denmark,2010
Marcus Hahnemann,usa,GK,1972-06-15,37,7,Wolverhampton Wanderers,england,2010
Mark Schwarzer,australia,GK,1972-10-06,37,75,Fulham,england,2010
Lucas Neill,australia,DF,1978-03-09,32,56,Galatasaray,turkey,2010
Craig Moore,australia,DF,1975-12-12,34,50,,,2010
Tim Cahill,australia,MF,1979-12-06,30,40,Everton,england,2010
Jason Culina,australia,MF,1980-08-05,29,49,Gold Coast United,australia,2010
Michael Beauchamp,australia,DF,1981-03-08,29,21,Al-Jazira,united arab emirates,2010
Brett Emerton,australia,MF,1979-02-22,31,72,Blackburn Rovers,england,2010
Luke Wilkshire,australia,DF,1981-10-01,28,42,Dynamo Moscow,russia,2010
Joshua Kennedy,australia,FW,1982-08-20,27,19,Nagoya Grampus,japan,2010
Harry Kewell,australia,FW,1978-09-22,31,45,Galatasaray,turkey,2010
Scott Chipperfield,australia,DF,1975-12-30,34,65,Basel,switzerland,2010
Adam Federici,australia,GK,1985-01-31,25,1,Reading,england,2010
Vince Grella,australia,MF,1979-10-05,30,45,Blackburn Rovers,england,2010
Brett Holman,australia,FW,1984-03-27,26,31,AZ,netherlands,2010
Mile Jedinak,australia,MF,1984-08-03,25,11,Antalyaspor,turkey,2010
Carl Valeri,australia,MF,1984-08-14,25,22,Sassuolo,italy,2010
Nikita Rukavytsya,australia,FW,1987-06-22,22,3,Roeselare,belgium,2010
Eugene Galekovic,australia,GK,1981-06-12,28,4,Adelaide United,australia,2010
Richard Garcia,australia,MF,1981-09-04,28,7,Hull City,england,2010
Mark Milligan,australia,DF,1985-09-04,24,10,JEF United,japan,2010
David Carney,australia,DF,1983-11-30,26,25,Twente,netherlands,2010
Dario Vidošić,australia,MF,1987-04-12,23,7,MSV Duisburg,germany,2010
Mark Bresciano,australia,MF,1980-02-11,30,55,Palermo,italy,2010
Manuel Neuer,germany,GK,1986-03-27,24,5,Schalke 04,germany,2010
Marcell Jansen,germany,DF,1985-11-04,24,31,Hamburger SV,germany,2010
Arne Friedrich,germany,DF,1979-05-29,31,72,Hertha BSC,germany,2010
Dennis Aogo,germany,DF,1987-01-14,23,2,Hamburger SV,germany,2010
Serdar Tasci,germany,DF,1987-04-24,23,12,VfB Stuttgart,germany,2010
Sami Khedira,germany,MF,1987-04-04,23,5,VfB Stuttgart,germany,2010
Bastian Schweinsteiger,germany,MF,1984-08-01,25,74,Bayern Munich,germany,2010
Mesut Özil,germany,MF,1988-10-15,21,10,Werder Bremen,germany,2010
Stefan Kießling,germany,FW,1984-01-25,26,4,Bayer Leverkusen,germany,2010
Lukas Podolski,germany,MF,1985-06-04,25,73,1. FC Köln,germany,2010
Miroslav Klose,germany,FW,1978-06-09,32,96,Bayern Munich,germany,2010
Tim Wiese,germany,GK,1981-12-17,28,2,Werder Bremen,germany,2010
Thomas Müller,germany,MF,1989-09-13,20,2,Bayern Munich,germany,2010
Holger Badstuber,germany,DF,1989-03-13,21,2,Bayern Munich,germany,2010
Piotr Trochowski,germany,MF,1984-03-22,26,31,Hamburger SV,germany,2010
Philipp Lahm,germany,DF,1983-11-11,26,65,Bayern Munich,germany,2010
Per Mertesacker,germany,DF,1984-09-29,25,62,Werder Bremen,germany,2010
Toni Kroos,germany,MF,1990-01-04,20,4,Bayer Leverkusen,germany,2010
Cacau,germany,FW,1981-03-27,29,8,VfB Stuttgart,germany,2010
Jérôme Boateng,germany,DF,1988-09-03,21,5,Hamburger SV,germany,2010
Marko Marin,germany,MF,1989-03-13,21,9,Werder Bremen,germany,2010
Hans-Jörg Butt,germany,GK,1974-05-28,36,3,Bayern Munich,germany,2010
Mario Gómez,germany,FW,1985-07-10,24,34,Bayern Munich,germany,2010
Daniel Agyei,ghana,GK,1989-11-10,20,2,Liberty Professionals,ghana,2010
Hans Sarpei,ghana,DF,1976-06-28,33,23,Bayer Leverkusen,germany,2010
Asamoah Gyan,ghana,FW,1985-11-22,24,32,Rennes,france,2010
John Paintsil,ghana,DF,1981-06-15,28,65,Fulham,england,2010
John Mensah,ghana,DF,1982-11-29,27,58,Sunderland,england,2010
Anthony Annan,ghana,MF,1986-07-21,23,38,Rosenborg,norway,2010
Samuel Inkoom,ghana,DF,1989-06-01,21,15,Basel,switzerland,2010
Jonathan Mensah,ghana,DF,1990-07-13,19,3,Granada,spain,2010
Derek Boateng,ghana,MF,1983-05-02,27,19,Getafe,spain,2010
Stephen Appiah,ghana,MF,1980-12-24,29,56,Bologna,italy,2010
Sulley Muntari,ghana,MF,1984-08-27,25,52,Internazionale,italy,2010
Prince Tagoe,ghana,FW,1986-11-09,23,17,1899 Hoffenheim,germany,2010
André Ayew,ghana,MF,1989-12-17,20,15,Arles-Avignon,france,2010
Matthew Amoah,ghana,FW,1980-10-24,29,31,NAC,netherlands,2010
Isaac Vorsah,ghana,DF,1988-06-21,21,6,1899 Hoffenheim,germany,2010
Stephen Ahorlu,ghana,GK,1989-05-10,21,0,Heart of Lions,ghana,2010
Abdul Rahim Ayew,ghana,DF,1988-04-16,22,6,Zamalek,egypt,2010
Dominic Adiyiah,ghana,FW,1989-11-29,20,4,Milan,italy,2010
Lee Addy,ghana,DF,1985-09-26,24,3,Bechem Chelsea,ghana,2010
Quincy Owusu-Abeyie,ghana,MF,1986-04-15,24,12,Al-Sadd,qatar,2010
Kwadwo Asamoah,ghana,MF,1988-12-09,21,29,Udinese,italy,2010
