team,date,attack,defence,full_age,midfield,overall,prestige,start_age
Greece,07 Jul  2018,75.0,77.0,5.0,74.0,75.0,6.0,5.0
Croatia,07 Jul  2018,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,07 Jul  2018,80.0,73.0,2.0,72.0,74.0,5.0,2.0
Serbia,07 Jul  2018,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,07 Jul  2018,69.0,70.0,5.0,72.0,72.0,5.0,5.0
Switzerland,07 Jul  2018,75.0,77.0,6.0,78.0,78.0,5.0,6.0
Sweden,07 Jul  2018,78.0,76.0,8.0,76.0,77.0,5.0,8.0
Republic of Ireland,07 Jul  2018,75.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,07 Jul  2018,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,07 Jul  2018,86.0,83.0,35.0,81.0,83.0,7.0,35.0
United States,07 Jul  2018,76.0,74.0,24.0,76.0,75.0,6.0,24.0
Norway,07 Jul  2018,74.0,72.0,9.0,73.0,73.0,4.0,9.0
Paraguay,07 Jul  2018,75.0,72.0,3.0,74.0,73.0,4.0,3.0
Ukraine,07 Jul  2018,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,07 Jul  2018,83.0,76.0,20.0,78.0,80.0,5.0,20.0
Bulgaria,07 Jul  2018,69.0,67.0,1.0,63.0,67.0,5.0,1.0
Finland,07 Jul  2018,70.0,66.0,7.0,69.0,70.0,3.0,7.0
Scotland,07 Jul  2018,75.0,74.0,8.0,74.0,74.0,4.0,8.0
Romania,07 Jul  2018,74.0,69.0,9.0,71.0,72.0,5.0,9.0
Austria,07 Jul  2018,80.0,74.0,4.0,77.0,76.0,4.0,4.0
Wales,07 Jul  2018,76.0,74.0,12.0,76.0,75.0,4.0,12.0
Slovenia,07 Jul  2018,72.0,73.0,1.0,77.0,76.0,5.0,1.0
Ecuador,07 Jul  2018,74.0,69.0,5.0,69.0,71.0,5.0,5.0
Tunisia,07 Jul  2018,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,07 Jul  2018,74.0,72.0,1.0,73.0,73.0,2.0,1.0
Hungary,07 Jul  2018,71.0,73.0,2.0,72.0,72.0,4.0,2.0
China PR,07 Jul  2018,70.0,69.0,6.0,69.0,69.0,3.0,6.0
Netherlands,07 Jul  2018,80.0,79.0,25.0,79.0,79.0,8.0,25.0
Czech Republic,07 Jul  2018,73.0,72.0,6.0,74.0,73.0,5.0,6.0
South Africa,07 Jul  2018,71.0,70.0,0.0,70.0,71.0,4.0,0.0
New Zealand,07 Jul  2018,71.0,66.0,2.0,70.0,68.0,2.0,2.0
Côte d'Ivoire,07 Jul  2018,76.0,76.0,3.0,75.0,75.0,6.0,3.0
Chile,07 Jul  2018,78.0,77.0,27.0,80.0,78.0,7.0,27.0
Colombia,07 Jul  2018,82.0,77.0,23.0,79.0,79.0,7.0,23.0
Peru,07 Jul  2018,79.0,74.0,14.0,76.0,76.0,3.0,14.0
Egypt,07 Jul  2018,72.0,74.0,8.0,77.0,76.0,5.0,8.0
Venezuela,07 Jul  2018,76.0,72.0,12.0,72.0,73.0,2.0,12.0
Bolivia,07 Jul  2018,67.0,65.0,6.0,68.0,67.0,1.0,6.0
India,07 Jul  2018,62.0,60.0,5.0,60.0,61.0,1.0,5.0
Canada,07 Jul  2018,73.0,65.0,4.0,71.0,68.0,2.0,4.0
Saudi Arabia,07 Jul  2018,72.0,71.0,1.0,71.0,72.0,4.0,1.0
Iceland,07 Jul  2018,75.0,74.0,2.0,78.0,75.0,2.0,2.0
Morocco,07 Jul  2018,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,07 Jul  2018,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,07 Jul  2018,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,07 Jul  2018,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,07 Jul  2018,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,07 Jul  2018,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,04 Jul  2018,87.0,84.0,48.0,86.0,86.0,10.0,48.0
England,04 Jul  2018,83.0,80.0,24.0,81.0,81.0,8.0,24.0
Italy,04 Jul  2018,81.0,82.0,30.0,81.0,82.0,9.0,30.0
Spain,04 Jul  2018,84.0,85.0,32.0,86.0,85.0,9.0,32.0
France,04 Jul  2018,84.0,81.0,61.0,85.0,85.0,9.0,61.0
Germany,04 Jul  2018,85.0,85.0,63.0,85.0,86.0,10.0,63.0
Argentina,04 Jul  2018,86.0,80.0,38.0,81.0,84.0,9.0,38.0
Portugal,04 Jul  2018,85.0,82.0,37.0,83.0,84.0,8.0,37.0
Turkey,04 Jul  2018,79.0,76.0,12.0,77.0,76.0,6.0,12.0
Nigeria,04 Jul  2018,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,04 Jul  2018,77.0,76.0,7.0,79.0,78.0,5.0,7.0
Russia,04 Jul  2018,80.0,77.0,6.0,78.0,79.0,6.0,6.0
Mexico,04 Jul  2018,81.0,75.0,50.0,78.0,79.0,7.0,50.0
Uruguay,04 Jul  2018,86.0,80.0,12.0,77.0,80.0,7.0,12.0
Greece,04 Jul  2018,75.0,77.0,5.0,74.0,75.0,6.0,5.0
Croatia,04 Jul  2018,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,04 Jul  2018,80.0,73.0,2.0,72.0,74.0,5.0,2.0
Serbia,04 Jul  2018,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,04 Jul  2018,69.0,70.0,5.0,72.0,72.0,5.0,5.0
Switzerland,04 Jul  2018,75.0,77.0,6.0,78.0,78.0,5.0,6.0
Sweden,04 Jul  2018,78.0,77.0,8.0,76.0,77.0,5.0,8.0
