Game,Group,Team,Opponent,Home/Away,Score,WDL,Pens?,Goals For,Goals Against,Pen Shootout For,Pen Shootout Against,Attempts,On-Target,Off-Target,Blocked,Woodwork,Corners,Offsides,Ball possession %,Pass Accuracy %,Passes,Passes Completed,Distance Covered km,Balls recovered,Tackles,Blocks,Clearances,Yellow cards,Red Cards,Second Yellow Card leading to Red Card,Fouls Committed
09,E,Serbia,Costa Rica,away,0-1,W,"",1,0,"","",10,3,5,2,0,4,3,50,83,392,325,109,42,7,4,31,2,0,0,15
10,F,Germany,Mexico,home,0-1,L,"",0,1,"","",25,9,9,7,2,8,1,60,88,595,524,110,31,9,2,12,2,0,0,10
10,F,Mexico,Germany,away,0-1,W,"",1,0,"","",12,4,6,2,0,1,2,40,82,281,231,106,38,7,7,42,2,0,0,15
11,E,Brazil,Switzerland,home,1-1,D,"",1,1,"","",20,4,9,7,0,7,1,52,88,521,460,103,51,4,0,14,1,0,0,12
11,E,Switzerland,Brazil,away,1-1,D,"",1,1,"","",6,2,4,0,0,2,0,48,83,436,362,108,56,17,7,19,3,0,0,19
12,F,Sweden,Korea Republic,home,1-0,W,"",1,0,"","",15,4,5,6,0,6,1,52,84,417,352,102,43,9,3,30,1,0,0,20
12,F,Korea Republic,Sweden,away,1-0,L,"",0,1,"","",5,0,2,3,0,5,0,48,79,351,278,103,45,12,6,31,2,0,0,23
13,G,Belgium,Panama,home,3-0,W,"",3,0,"","",15,6,7,2,0,9,1,61,89,544,483,102,41,1,0,12,3,0,0,17
13,G,Panama,Belgium,away,3-0,L,"",0,3,"","",6,2,4,0,0,3,3,39,82,317,260,100,38,6,2,29,5,0,0,18
14,G,Tunisia,England,home,1-2,L,"",1,2,"","",6,1,3,2,0,2,2,41,82,326,266,103,30,12,3,26,0,0,0,14
14,G,England,Tunisia,away,1-2,W,"",2,1,"","",17,7,7,3,2,7,3,59,91,492,446,105,37,2,2,8,1,0,0,8
15,H,Colombia,Japan,home,1-2,L,"",1,2,"","",8,3,1,4,0,3,2,41,82,352,290,93,40,15,3,22,2,1,0,15
15,H,Japan,Colombia,away,1-2,W,"",2,1,"","",14,6,5,3,0,6,1,59,87,565,491,101,46,16,4,24,1,0,0,9
16,H,Poland,Senegal,home,1-2,L,"",1,2,"","",10,4,5,1,0,3,3,57,88,552,483,110,43,11,2,23,1,0,0,8
16,H,Senegal,Poland,away,1-2,W,"",2,1,"","",8,2,4,2,0,3,3,43,81,328,266,107,48,9,1,38,2,0,0,15
17,A,Russia,Egypt,home,3-1,W,"",3,1,"","",11,3,5,3,0,7,0,47,76,380,289,115,59,9,4,47,1,0,0,11
17,A,Egypt,Russia,away,3-1,L,"",1,3,"","",13,1,8,4,0,4,0,53,81,438,356,110,41,11,3,29,1,0,0,10
18,B,Portugal,Morocco,home,1-0,W,"",1,0,"","",10,2,4,4,0,5,1,47,76,387,293,105,49,13,2,36,1,0,0,19
18,B,Morocco,Portugal,away,1-0,L,"",0,1,"","",16,4,10,2,0,7,1,53,77,466,359,107,66,17,4,16,1,0,0,23
19,A,Uruguay,Saudi Arabia,home,1-0,W,"",1,0,"","",13,4,6,3,0,3,1,47,88,521,456,101,43,6,2,19,0,0,0,10
19,A,Saudi Arabia,Uruguay,away,1-0,L,"",0,1,"","",8,3,3,2,0,4,2,53,86,590,510,100,45,11,3,14,0,0,0,13
20,B,IR Iran,Spain,home,0-1,L,"",0,1,"","",5,0,5,0,0,2,2,30,69,219,152,106,50,17,8,48,2,0,0,14
20,B,Spain,IR Iran,away,0-1,W,"",1,0,"","",17,3,6,8,0,6,1,70,89,805,718,105,35,5,0,14,0,0,0,14
21,C,Denmark,Australia,home,1-1,D,"",1,1,"","",10,5,5,0,0,3,1,49,88,458,403,112,41,14,4,26,2,0,0,7
21,C,Australia,Denmark,away,1-1,D,"",1,1,"","",14,5,5,4,0,5,0,51,85,520,441,114,42,6,0,26,0,0,0,5
22,C,France,Peru,home,1-0,W,"",1,0,"","",12,4,6,2,0,5,0,44,77,405,311,103,46,7,2,24,2,0,0,11
22,C,Peru,France,away,1-0,L,"",0,1,"","",10,2,6,2,1,3,1,56,81,532,431,102,44,15,2,17,2,0,0,15
23,D,Argentina,Croatia,home,0-3,L,"",0,3,"","",10,3,3,4,1,5,3,58,81,505,408,101,35,19,4,24,3,0,0,15
23,D,Croatia,Argentina,away,0-3,W,"",3,0,"","",15,5,6,4,1,2,3,42,80,372,296,104,34,13,4,19,4,0,0,23
24,E,Brazil,Costa Rica,home,2-0,W,"",2,0,"","",23,9,9,5,1,10,3,66,90,732,662,105,42,7,0,13,2,0,0,11
24,E,Costa Rica,Brazil,away,2-0,L,"",0,2,"","",4,0,4,0,0,1,3,34,73,271,199,109,38,13,4,40,1,0,0,11
25,D,Nigeria,Iceland,home,2-0,W,"",2,0,"","",16,4,6,6,1,6,1,58,84,473,399,100,40,6,1,39,1,0,0,9
25,D,Iceland,Nigeria,away,2-0,L,"",0,2,"","",10,3,6,1,0,5,0,42,75,291,218,106,46,10,6,28,0,0,0,10
26,E,Serbia,Switzerland,home,1-2,L,"",1,2,"","",12,3,7,2,0,3,0,42,78,309,241,116,44,11,7,30,4,0,0,17
26,E,Switzerland,Serbia,away,1-2,W,"",2,1,"","",20,5,8,7,1,7,3,58,87,547,474,112,40,14,2,17,1,0,0,12
27,G,Belgium,Tunisia,home,5-2,W,"",5,2,"","",23,12,8,3,1,5,3,52,84,468,391,104,44,4,4,16,0,0,0,12
27,G,Tunisia,Belgium,away,5-2,L,"",2,5,"","",15,5,6,4,0,2,3,48,82,477,392,102,37,10,4,17,1,0,0,13
28,F,Korea Republic,Mexico,home,1-2,L,"",1,2,"","",17,6,2,9,0,7,0,41,82,346,284,99,42,18,2,21,4,0,0,24
28,F,Mexico,Korea Republic,away,1-2,W,"",2,1,"","",13,5,6,2,0,5,0,59,89,485,432,97,40,13,9,18,0,0,0,7
29,F,Germany,Sweden,home,2-1,W,"",2,1,"","",16,5,4,7,1,8,5,71,91,699,633,111,32,10,1,13,0,0,1,12
29,F,Sweden,Germany,away,2-1,L,"",1,2,"","",8,6,1,1,0,3,2,29,77,213,165,110,46,10,7,46,2,0,0,13
30,G,England,Panama,home,6-1,W,"",6,1,"","",12,7,3,2,0,3,3,58,94,593,557,99,27,2,1,11,1,0,0,14
30,G,Panama,England,away,6-1,L,"",1,6,"","",8,2,5,1,0,2,0,42,88,398,352,89,26,3,2,11,3,0,0,13
31,H,Japan,Senegal,home,2-2,D,"",2,2,"","",7,3,2,2,1,2,2,54,84,449,376,105,39,8,2,33,2,0,0,8
31,H,Senegal,Japan,away,2-2,D,"",2,2,"","",14,7,5,2,0,5,4,46,79,338,267,102,44,4,2,29,3,0,0,14
32,H,Poland,Colombia,home,0-3,L,"",0,3,"","",9,2,3,4,0,7,1,45,79,424,335,107,57,21,5,33,2,0,0,15
32,H,Colombia,Poland,away,0-3,W,"",3,0,"","",13,3,5,5,0,5,1,55,82,514,419,108,53,16,4,26,0,0,0,10
33,A,Uruguay,Russia,home,3-0,W,"",3,0,"","",17,7,6,4,0,4,0,56,88,492,431,101,34,10,1,13,1,0,0,17
33,A,Russia,Uruguay,away,3-0,L,"",0,3,"","",3,1,1,1,0,2,2,44,83,355,296,98,32,15,4,20,1,0,1,18
34,A,Saudi Arabia,Egypt,home,2-1,W,"",2,1,"","",22,7,10,5,1,7,1,61,90,655,590,101,49,7,1,22,0,0,0,7
34,A,Egypt,Saudi Arabia,away,2-1,L,"",1,2,"","",8,1,6,1,0,2,3,39,82,357,293,106,51,17,5,34,2,0,0,16
35,B,Spain,Morocco,home,2-2,D,"",2,2,"","",16,4,11,1,0,7,1,68,91,762,694,103,27,8,1,4,0,0,0,5
35,B,Morocco,Spain,away,2-2,D,"",2,2,"","",6,3,2,1,1,1,1,32,84,247,207,111,40,9,2,30,6,0,0,17
36,B,IR Iran,Portugal,home,1-1,D,"",1,1,"","",8,2,5,1,0,1,1,32,69,226,155,93,34,20,3,19,2,0,0,16
36,B,Portugal,IR Iran,away,1-1,D,"",1,1,"","",14,4,7,3,0,5,1,68,89,619,548,89,38,6,1,17,4,0,0,11
37,C,Australia,Peru,home,0-2,L,"",0,2,"","",14,2,7,5,0,8,3,53,86,554,479,105,35,7,0,12,4,0,0,13
37,C,Peru,Australia,away,0-2,W,"",2,0,"","",4,3,1,0,0,3,1,47,81,417,339,100,48,24,5,24,2,0,0,12
38,C,Denmark,France,home,0-0,D,"",0,0,"","",5,1,2,2,0,4,1,38,74,303,224,106,44,10,1,30,1,0,0,10
38,C,France,Denmark,away,0-0,D,"",0,0,"","",11,4,6,1,0,2,1,62,87,667,581,104,33,6,2,17,0,0,0,10
39,D,Nigeria,Argentina,home,1-2,L,"",1,2,"","",9,3,5,1,0,3,0,34,76,244,186,98,44,9,1,31,2,0,0,20
39,D,Argentina,Nigeria,away,1-2,W,"",2,1,"","",8,4,3,1,1,5,2,66,84,565,476,101,40,24,1,20,3,0,0,15
40,D,Iceland,Croatia,home,1-2,L,"",1,2,"","",17,6,8,3,1,10,1,41,73,324,238,103,38,9,3,16,3,0,0,10
40,D,Croatia,Iceland,away,1-2,W,"",2,1,"","",13,2,8,3,1,5,0,59,87,524,458,101,43,13,3,30,2,0,0,12
41,F,Korea Republic,Germany,home,2-0,W,"",2,0,"","",11,5,5,1,0,3,0,30,74,241,178,118,42,10,9,42,4,0,0,16
41,F,Germany,Korea Republic,away,2-0,L,"",0,2,"","",26,6,11,9,0,9,1,70,88,725,635,115,39,9,1,10,0,0,0,7
42,F,Mexico,Sweden,home,0-3,L,"",0,3,"","",19,3,8,8,0,7,2,65,82,491,405,95,33,9,1,12,3,0,0,14
42,F,Sweden,Mexico,away,0-3,W,"",3,0,"","",13,5,7,1,0,3,0,35,67,215,144,102,45,9,8,30,2,0,0,11
43,E,Serbia,Brazil,home,0-2,L,"",0,2,"","",10,1,5,4,0,5,2,44,78,458,359,114,56,11,4,14,3,0,0,13
43,E,Brazil,Serbia,away,0-2,W,"",2,0,"","",13,6,3,4,0,9,4,56,88,635,557,105,52,9,4,37,0,0,0,7
44,E,Switzerland,Costa Rica,home,2-2,D,"",2,2,"","",12,3,5,4,1,6,1,60,87,588,514,103,30,6,2,13,3,0,0,9
44,E,Costa Rica,Switzerland,away,2-2,D,"",2,2,"","",14,6,5,2,2,5,1,40,81,346,279,103,42,9,4,27,3,0,0,14
45,H,Japan,Poland,home,0-1,L,"",0,1,"","",10,3,4,3,0,5,1,54,86,557,478,83,41,8,4,26,1,0,0,11
45,H,Poland,Japan,away,0-1,W,"",1,0,"","",11,2,5,4,0,7,0,46,83,462,382,80,36,11,3,18,0,0,0,8
46,H,Senegal,Colombia,home,0-1,L,"",0,1,"","",8,3,4,1,0,1,3,43,78,281,219,97,55,4,1,26,1,0,0,15
46,H,Colombia,Senegal,away,0-1,W,"",1,0,"","",4,2,1,1,0,3,3,57,83,431,359,100,34,11,1,16,1,0,0,15
47,G,Panama,Tunisia,home,1-2,L,"",1,2,"","",9,4,4,1,0,0,4,36,77,284,220,102,36,9,4,33,3,0,0,18
47,G,Tunisia,Panama,away,1-2,W,"",2,1,"","",15,7,4,4,0,6,1,64,87,626,546,107,43,9,1,15,3,0,0,19
48,G,England,Belgium,home,0-1,L,"",0,1,"","",13,1,7,5,0,7,3,48,88,484,424,109,32,13,7,10,0,0,0,11
48,G,Belgium,England,away,0-1,W,"",1,0,"","",15,4,4,7,0,2,1,52,88,556,490,106,32,12,5,24,2,0,0,14
49,Round of 16,France,Argentina,home,4-3,W,"",4,3,"","",9,4,4,1,1,0,0,41,84,351,295,97,35,12,4,20,3,0,0,21
49,Round of 16,Argentina,France,away,4-3,L,"",3,4,"","",9,4,1,4,0,4,1,59,86,547,471,96,28,22,1,10,5,0,0,15
50,Round of 16,Uruguay,Portugal,home,2-1,W,"",2,1,"","",6,3,2,1,0,2,0,39,70,266,185,106,40,19,8,34,0,0,0,13
50,Round of 16,Portugal,Uruguay,away,2-1,L,"",1,2,"","",20,5,7,8,0,10,1,61,84,584,489,107,41,10,1,17,1,0,0,13
51,Round of 16,Spain,Russia,home,1-1,L,y,1,1,3,4,25,9,6,10,0,6,1,75,91,1137,1031,137,42,7,2,9,1,0,0,5
51,Round of 16,Russia,Spain,away,1-1,W,y,1,1,4,3,6,1,3,2,0,5,1,25,72,284,204,146,43,16,10,47,2,0,0,19
52,Round of 16,Croatia,Denmark,home,1-1,W,y,1,1,3,2,22,7,8,7,0,5,2,54,81,625,506,132,54,9,2,36,0,0,0,5
52,Round of 16,Denmark,Croatia,away,1-1,L,y,1,1,2,3,15,3,10,2,1,4,0,46,79,538,425,135,47,15,7,29,1,0,0,19
53,Round of 16,Brazil,Mexico,home,2-0,W,"",2,0,"","",21,10,7,4,0,8,0,47,83,398,330,92,38,10,8,20,2,0,0,6
53,Round of 16,Mexico,Brazil,away,2-0,L,"",0,2,"","",13,1,4,8,0,7,2,53,85,424,362,89,34,12,4,23,4,0,0,18
54,Round of 16,Belgium,Japan,home,3-2,W,"",3,2,"","",24,8,10,6,1,10,1,56,87,621,540,108,28,2,3,12,0,0,0,13
54,Round of 16,Japan,Belgium,away,3-2,L,"",2,3,"","",11,4,4,3,0,6,1,44,83,453,374,109,40,8,6,39,1,0,0,9
55,Round of 16,Sweden,Switzerland,home,1-0,W,"",1,0,"","",12,3,6,3,0,3,1,37,73,270,198,105,46,3,9,33,1,0,0,11
55,Round of 16,Switzerland,Sweden,away,1-0,L,"",0,1,"","",18,4,5,9,0,11,0,63,83,599,500,103,26,2,3,15,2,1,0,13
56,Round of 16,Colombia,England,home,1-1,L,y,1,1,3,4,14,4,7,3,0,2,1,49,78,516,405,136,59,17,5,39,6,0,0,23
56,Round of 16,England,Colombia,away,1-1,W,y,1,1,4,3,16,2,9,5,0,7,2,51,82,571,471,143,59,6,3,27,2,0,0,13
57,Quarter-finals,Uruguay,France,home,0-2,L,"",0,2,"","",11,4,6,1,0,4,0,42,67,322,215,103,45,14,2,21,2,0,0,17
57,Quarter-finals,France,Uruguay,away,0-2,W,"",2,0,"","",11,2,7,2,0,3,0,58,81,524,427,99,48,7,1,51,2,0,0,15
58,Quarter-finals,Brazil,Belgium,home,1-2,L,"",1,2,"","",26,9,7,10,1,8,1,57,89,557,493,104,41,6,2,7,2,0,0,14
58,Quarter-finals,Belgium,Brazil,away,1-2,W,"",2,1,"","",8,3,3,2,0,4,0,43,83,370,307,105,35,7,10,41,2,0,0,16
59,Quarter-finals,Sweden,England,home,0-2,L,"",0,2,"","",7,3,3,1,0,1,2,43,74,379,280,107,36,5,6,37,2,0,0,10
59,Quarter-finals,England,Sweden,away,0-2,W,"",2,0,"","",12,2,4,6,0,6,1,57,80,525,420,110,47,3,1,22,1,0,0,7
60,Quarter-finals,Russia,Croatia,home,2-2,L,y,2,2,3,4,13,7,4,2,0,6,1,38,69,399,276,148,63,19,4,43,1,0,0,25
60,Quarter-finals,Croatia,Russia,away,2-2,W,y,2,2,4,3,17,3,10,4,1,8,0,62,82,753,615,139,58,10,2,27,4,0,0,18
61,Semi-finals,France,Belgium,home,1-0,W,"",1,0,"","",19,5,8,6,0,4,1,40,86,342,294,102,44,16,1,30,2,0,0,6
61,Semi-finals,Belgium,France,away,1-0,L,"",0,1,"","",9,3,5,1,0,5,1,60,90,629,565,102,34,16,6,14,3,0,0,16
62,Semi-finals,Croatia,England,home,2-1,W,"",2,1,"","",22,7,11,4,1,8,1,54,79,622,494,143,51,18,4,32,2,0,0,23
62,Semi-finals,England,Croatia,away,2-1,L,"",1,2,"","",11,1,6,4,0,4,3,46,79,479,377,148,49,4,4,52,1,0,0,14
63,Play-off for third place,Belgium,England,home,2-0,W,"",2,0,"","",12,4,3,5,0,4,1,43,88,510,450,108,34,4,3,27,1,0,0,11
63,Play-off for third place,England,Belgium,away,2-0,L,"",0,2,"","",15,5,7,3,0,5,0,57,92,698,641,110,31,7,5,18,2,0,0,5
64,Final,France,Croatia,home,4-2,W,"",4,2,"","",8,6,1,1,0,2,1,39,75,271,202,99,45,12,4,35,2,0,0,14
64,Final,Croatia,France,away,4-2,L,"",2,4,"","",15,3,8,4,0,6,1,61,83,547,456,100,45,13,1,13,1,0,0,13
