team,date,attack,defence,full_age,midfield,overall,prestige,start_age
Austria,15 Jul  2018,80.0,74.0,24.74,77.0,76.0,4.0,25.91
Wales,15 Jul  2018,76.0,74.0,25.65,76.0,75.0,4.0,27.18
Slovenia,15 Jul  2018,72.0,73.0,26.91,77.0,76.0,5.0,28.09
Ecuador,15 Jul  2018,74.0,69.0,24.48,70.0,71.0,5.0,24.55
Tunisia,15 Jul  2018,75.0,71.0,26.45,71.0,73.0,3.0,25.0
Northern Ireland,15 Jul  2018,74.0,72.0,27.09,73.0,73.0,2.0,28.18
Hungary,15 Jul  2018,73.0,74.0,26.61,72.0,73.0,4.0,26.36
China PR,15 Jul  2018,70.0,69.0,28.04,69.0,69.0,3.0,29.45
Netherlands,15 Jul  2018,80.0,79.0,24.3,79.0,79.0,8.0,23.82
Czech Republic,15 Jul  2018,73.0,72.0,24.83,74.0,73.0,5.0,25.0
South Africa,15 Jul  2018,71.0,70.0,25.78,70.0,71.0,4.0,26.91
New Zealand,15 Jul  2018,71.0,66.0,24.57,70.0,68.0,2.0,25.73
Côte d'Ivoire,15 Jul  2018,76.0,76.0,27.39,75.0,75.0,6.0,27.82
Chile,15 Jul  2018,78.0,77.0,29.35,80.0,78.0,7.0,29.73
Colombia,15 Jul  2018,82.0,77.0,27.15,79.0,79.0,7.0,26.0
Peru,15 Jul  2018,79.0,74.0,26.78,76.0,76.0,3.0,26.73
Egypt,15 Jul  2018,72.0,74.0,27.18,77.0,76.0,5.0,29.09
Venezuela,15 Jul  2018,76.0,72.0,24.09,72.0,73.0,2.0,24.36
Bolivia,15 Jul  2018,67.0,65.0,24.74,68.0,67.0,1.0,25.18
India,15 Jul  2018,61.0,61.0,24.91,60.0,61.0,1.0,25.45
Canada,15 Jul  2018,73.0,65.0,26.26,71.0,68.0,2.0,24.91
Saudi Arabia,15 Jul  2018,72.0,71.0,27.43,71.0,72.0,4.0,26.73
Iceland,15 Jul  2018,75.0,74.0,26.55,78.0,75.0,2.0,28.55
Morocco,15 Jul  2018,74.0,77.0,25.98,77.0,76.0,3.0,28.09
Senegal,15 Jul  2018,77.0,76.0,26.05,77.0,76.0,7.0,25.18
Japan,15 Jul  2018,76.0,74.0,27.0,77.0,75.0,5.0,28.27
Iran,15 Jul  2018,76.0,71.0,26.28,71.0,74.0,3.0,24.64
Costa Rica,15 Jul  2018,69.0,73.0,28.58,73.0,73.0,3.0,28.73
Panama,15 Jul  2018,68.0,68.0,26.98,68.0,69.0,1.0,27.45
Brazil,12 Jul  2018,87.0,84.0,27.43,86.0,86.0,10.0,27.55
England,12 Jul  2018,83.0,80.0,25.88,81.0,81.0,8.0,24.64
Italy,12 Jul  2018,81.0,82.0,25.96,81.0,82.0,9.0,27.36
Spain,12 Jul  2018,84.0,85.0,27.18,86.0,85.0,9.0,27.27
France,12 Jul  2018,86.0,81.0,25.05,84.0,85.0,9.0,24.82
Germany,12 Jul  2018,85.0,85.0,24.9,85.0,86.0,10.0,26.55
Argentina,12 Jul  2018,86.0,80.0,27.63,81.0,84.0,9.0,28.45
Portugal,12 Jul  2018,85.0,82.0,26.68,83.0,84.0,8.0,26.64
Turkey,12 Jul  2018,79.0,76.0,27.04,77.0,76.0,6.0,26.45
Nigeria,12 Jul  2018,75.0,73.0,24.53,75.0,75.0,4.0,23.55
Denmark,12 Jul  2018,77.0,76.0,25.95,79.0,78.0,5.0,25.82
Russia,12 Jul  2018,80.0,77.0,27.3,78.0,79.0,6.0,27.91
Mexico,12 Jul  2018,81.0,75.0,27.6,78.0,79.0,7.0,27.09
Uruguay,12 Jul  2018,86.0,80.0,26.88,77.0,80.0,7.0,25.91
Greece,12 Jul  2018,75.0,77.0,26.04,74.0,75.0,6.0,28.09
Croatia,12 Jul  2018,80.0,78.0,25.76,82.0,80.0,6.0,27.91
Cameroon,12 Jul  2018,80.0,73.0,25.22,72.0,75.0,5.0,24.45
Serbia,12 Jul  2018,75.0,76.0,25.45,79.0,78.0,6.0,26.0
Australia,12 Jul  2018,69.0,70.0,26.73,72.0,72.0,5.0,26.55
Switzerland,12 Jul  2018,75.0,77.0,25.66,78.0,78.0,5.0,26.36
Sweden,12 Jul  2018,78.0,76.0,26.24,76.0,77.0,5.0,26.82
Republic of Ireland,12 Jul  2018,75.0,75.0,26.7,75.0,75.0,5.0,27.64
Korea Republic,12 Jul  2018,74.0,70.0,26.48,74.0,73.0,5.0,26.18
Belgium,12 Jul  2018,84.0,84.0,26.72,82.0,83.0,7.0,27.55
United States,12 Jul  2018,76.0,74.0,25.48,76.0,75.0,6.0,25.36
Norway,12 Jul  2018,74.0,72.0,24.91,73.0,73.0,4.0,24.64
Paraguay,12 Jul  2018,75.0,72.0,27.96,74.0,73.0,4.0,30.64
Ukraine,12 Jul  2018,73.0,70.0,26.0,72.0,76.0,14.0,25.82
Poland,12 Jul  2018,83.0,76.0,26.43,78.0,80.0,5.0,27.0
Bulgaria,12 Jul  2018,69.0,67.0,26.87,63.0,67.0,5.0,26.27
Finland,12 Jul  2018,70.0,66.0,26.17,69.0,70.0,3.0,24.55
Scotland,12 Jul  2018,75.0,74.0,25.83,74.0,74.0,4.0,26.36
Romania,12 Jul  2018,74.0,69.0,26.04,71.0,72.0,5.0,27.09
Austria,12 Jul  2018,80.0,74.0,24.74,77.0,76.0,4.0,25.91
Wales,12 Jul  2018,76.0,74.0,25.65,76.0,75.0,4.0,27.18
Slovenia,12 Jul  2018,72.0,73.0,26.91,77.0,76.0,5.0,28.09
Ecuador,12 Jul  2018,74.0,69.0,24.48,70.0,71.0,5.0,24.55
Tunisia,12 Jul  2018,75.0,71.0,26.45,71.0,73.0,3.0,25.0
Northern Ireland,12 Jul  2018,74.0,72.0,27.09,73.0,73.0,2.0,28.18
Hungary,12 Jul  2018,73.0,74.0,26.61,72.0,73.0,4.0,26.36
China PR,12 Jul  2018,70.0,69.0,28.04,69.0,69.0,3.0,29.45
Netherlands,12 Jul  2018,80.0,79.0,24.3,79.0,79.0,8.0,23.82
Czech Republic,12 Jul  2018,73.0,72.0,24.83,74.0,73.0,5.0,25.0
South Africa,12 Jul  2018,71.0,70.0,25.78,70.0,71.0,4.0,26.91
New Zealand,12 Jul  2018,71.0,66.0,24.57,70.0,68.0,2.0,25.73
Côte d'Ivoire,12 Jul  2018,76.0,76.0,27.39,75.0,75.0,6.0,27.82
Chile,12 Jul  2018,78.0,77.0,29.35,80.0,78.0,7.0,29.73
Colombia,12 Jul  2018,82.0,77.0,27.15,79.0,79.0,7.0,26.0
Peru,12 Jul  2018,79.0,74.0,26.78,76.0,76.0,3.0,26.73
Egypt,12 Jul  2018,72.0,74.0,27.18,77.0,76.0,5.0,29.09
Venezuela,12 Jul  2018,76.0,72.0,24.09,72.0,73.0,2.0,24.36
Bolivia,12 Jul  2018,67.0,65.0,24.74,68.0,67.0,1.0,25.18
India,12 Jul  2018,61.0,61.0,24.91,60.0,61.0,1.0,25.45
Canada,12 Jul  2018,73.0,65.0,26.26,71.0,68.0,2.0,24.91
Saudi Arabia,12 Jul  2018,72.0,71.0,27.43,71.0,72.0,4.0,26.73
Iceland,12 Jul  2018,75.0,74.0,26.55,78.0,75.0,2.0,28.55
Morocco,12 Jul  2018,74.0,77.0,25.98,77.0,76.0,3.0,28.09
Senegal,12 Jul  2018,77.0,76.0,26.05,77.0,76.0,7.0,25.18
Japan,12 Jul  2018,76.0,74.0,27.0,77.0,75.0,5.0,28.27
Iran,12 Jul  2018,76.0,71.0,26.28,71.0,74.0,3.0,24.64
Costa Rica,12 Jul  2018,69.0,73.0,28.58,73.0,73.0,3.0,28.73
Panama,12 Jul  2018,68.0,68.0,26.98,68.0,69.0,1.0,27.45
Brazil,11 Jul  2018,87.0,84.0,27.43,86.0,86.0,10.0,27.55
England,11 Jul  2018,83.0,80.0,25.88,81.0,81.0,8.0,24.64
Italy,11 Jul  2018,81.0,82.0,25.96,81.0,82.0,9.0,27.36
Spain,11 Jul  2018,84.0,85.0,27.18,86.0,85.0,9.0,27.27
France,11 Jul  2018,86.0,81.0,25.05,84.0,85.0,9.0,24.82
Germany,11 Jul  2018,85.0,85.0,24.9,85.0,86.0,10.0,26.55
Argentina,11 Jul  2018,86.0,80.0,27.63,81.0,84.0,9.0,28.45
Portugal,11 Jul  2018,85.0,82.0,26.68,83.0,84.0,8.0,26.64
Turkey,11 Jul  2018,79.0,76.0,27.04,77.0,76.0,6.0,26.45
Nigeria,11 Jul  2018,75.0,73.0,24.53,75.0,75.0,4.0,23.55
Denmark,11 Jul  2018,77.0,76.0,25.95,79.0,78.0,5.0,25.82
Russia,11 Jul  2018,80.0,77.0,27.3,78.0,79.0,6.0,27.91
Mexico,11 Jul  2018,81.0,75.0,27.6,78.0,79.0,7.0,27.09
Uruguay,11 Jul  2018,86.0,80.0,26.88,77.0,80.0,7.0,25.91
Greece,11 Jul  2018,75.0,77.0,26.04,74.0,75.0,6.0,28.09
Croatia,11 Jul  2018,80.0,78.0,25.76,82.0,80.0,6.0,27.91
Cameroon,11 Jul  2018,80.0,73.0,25.22,72.0,75.0,5.0,24.45
Serbia,11 Jul  2018,75.0,76.0,25.45,79.0,78.0,6.0,26.0
Australia,11 Jul  2018,69.0,70.0,26.73,72.0,72.0,5.0,26.55
Switzerland,11 Jul  2018,75.0,77.0,25.66,78.0,78.0,5.0,26.36
Sweden,11 Jul  2018,78.0,76.0,26.24,76.0,77.0,5.0,26.82
Republic of Ireland,11 Jul  2018,75.0,75.0,26.7,75.0,75.0,5.0,27.64
Korea Republic,11 Jul  2018,74.0,70.0,26.48,74.0,73.0,5.0,26.18
Belgium,11 Jul  2018,84.0,84.0,26.72,82.0,83.0,7.0,27.55
United States,11 Jul  2018,76.0,74.0,25.48,76.0,75.0,6.0,25.36
Norway,11 Jul  2018,74.0,72.0,24.91,73.0,73.0,4.0,24.64
Paraguay,11 Jul  2018,75.0,72.0,27.96,74.0,73.0,4.0,30.64
Ukraine,11 Jul  2018,73.0,70.0,26.0,72.0,76.0,14.0,25.82
Poland,11 Jul  2018,83.0,76.0,26.43,78.0,80.0,5.0,27.0
Bulgaria,11 Jul  2018,69.0,67.0,26.87,63.0,67.0,5.0,26.27
Finland,11 Jul  2018,70.0,66.0,26.17,69.0,70.0,3.0,24.55
Scotland,11 Jul  2018,75.0,74.0,25.83,74.0,74.0,4.0,26.36
Romania,11 Jul  2018,74.0,69.0,26.04,71.0,72.0,5.0,27.09
Austria,11 Jul  2018,80.0,74.0,24.74,77.0,76.0,4.0,25.91
Wales,11 Jul  2018,76.0,74.0,25.65,76.0,75.0,4.0,27.18
Slovenia,11 Jul  2018,72.0,73.0,26.91,77.0,76.0,5.0,28.09
Ecuador,11 Jul  2018,74.0,69.0,24.48,70.0,71.0,5.0,24.55
Tunisia,11 Jul  2018,75.0,71.0,26.45,71.0,73.0,3.0,25.0
Northern Ireland,11 Jul  2018,74.0,72.0,27.09,73.0,73.0,2.0,28.18
Hungary,11 Jul  2018,73.0,74.0,26.61,72.0,73.0,4.0,26.36
China PR,11 Jul  2018,70.0,69.0,28.04,69.0,69.0,3.0,29.45
Netherlands,11 Jul  2018,80.0,79.0,24.3,79.0,79.0,8.0,23.82
Czech Republic,11 Jul  2018,73.0,72.0,24.83,74.0,73.0,5.0,25.0
South Africa,11 Jul  2018,71.0,70.0,25.78,70.0,71.0,4.0,26.91
New Zealand,11 Jul  2018,71.0,66.0,24.57,70.0,68.0,2.0,25.73
Côte d'Ivoire,11 Jul  2018,76.0,76.0,27.39,75.0,75.0,6.0,27.82
Chile,11 Jul  2018,78.0,77.0,29.35,80.0,78.0,7.0,29.73
Colombia,11 Jul  2018,82.0,77.0,27.15,79.0,79.0,7.0,26.0
Peru,11 Jul  2018,79.0,74.0,26.78,76.0,76.0,3.0,26.73
Egypt,11 Jul  2018,72.0,74.0,27.18,77.0,76.0,5.0,29.09
Venezuela,11 Jul  2018,76.0,72.0,24.09,72.0,73.0,2.0,24.36
Bolivia,11 Jul  2018,67.0,65.0,24.74,68.0,67.0,1.0,25.18
India,11 Jul  2018,61.0,61.0,24.91,60.0,61.0,1.0,25.45
Canada,11 Jul  2018,73.0,65.0,26.26,71.0,68.0,2.0,24.91
Saudi Arabia,11 Jul  2018,72.0,71.0,27.43,71.0,72.0,4.0,26.73
Iceland,11 Jul  2018,75.0,74.0,26.55,78.0,75.0,2.0,28.55
Morocco,11 Jul  2018,74.0,77.0,25.98,77.0,76.0,3.0,28.09
Senegal,11 Jul  2018,77.0,76.0,26.05,77.0,76.0,7.0,25.18
Japan,11 Jul  2018,76.0,74.0,27.0,77.0,75.0,5.0,28.27
Iran,11 Jul  2018,76.0,71.0,26.28,71.0,74.0,3.0,24.64
Costa Rica,11 Jul  2018,69.0,73.0,28.58,73.0,73.0,3.0,28.73
Panama,11 Jul  2018,68.0,68.0,26.98,68.0,69.0,1.0,27.45
Brazil,08 Jul  2018,87.0,84.0,27.43,86.0,86.0,10.0,27.55
England,08 Jul  2018,83.0,80.0,25.88,81.0,81.0,8.0,24.64
Italy,08 Jul  2018,81.0,82.0,25.96,81.0,82.0,9.0,27.36
Spain,08 Jul  2018,84.0,85.0,27.18,86.0,85.0,9.0,27.27
France,08 Jul  2018,86.0,81.0,25.05,84.0,85.0,9.0,24.09
Germany,08 Jul  2018,85.0,85.0,24.9,85.0,86.0,10.0,26.55
Argentina,08 Jul  2018,86.0,80.0,27.63,81.0,84.0,9.0,28.45
Portugal,08 Jul  2018,85.0,82.0,26.68,83.0,84.0,8.0,26.64
Turkey,08 Jul  2018,79.0,76.0,27.04,77.0,76.0,6.0,26.45
Nigeria,08 Jul  2018,75.0,73.0,24.53,75.0,75.0,4.0,23.55
Denmark,08 Jul  2018,77.0,76.0,25.95,79.0,78.0,5.0,25.82
Russia,08 Jul  2018,80.0,77.0,27.3,78.0,79.0,6.0,27.91
Mexico,08 Jul  2018,81.0,75.0,27.6,78.0,79.0,7.0,27.09
Uruguay,08 Jul  2018,86.0,80.0,26.88,77.0,80.0,7.0,25.91
Greece,08 Jul  2018,75.0,77.0,26.04,74.0,75.0,6.0,28.09
Croatia,08 Jul  2018,80.0,78.0,25.76,82.0,80.0,6.0,27.91
Cameroon,08 Jul  2018,80.0,73.0,25.22,72.0,75.0,5.0,24.45
Serbia,08 Jul  2018,75.0,76.0,25.45,79.0,78.0,6.0,26.0
Australia,08 Jul  2018,69.0,70.0,26.73,72.0,72.0,5.0,26.55
Switzerland,08 Jul  2018,75.0,77.0,25.66,78.0,78.0,5.0,26.36
Sweden,08 Jul  2018,78.0,76.0,26.24,76.0,77.0,5.0,26.82
Republic of Ireland,08 Jul  2018,75.0,75.0,26.7,75.0,75.0,5.0,27.64
Korea Republic,08 Jul  2018,74.0,70.0,26.48,74.0,73.0,5.0,26.18
Belgium,08 Jul  2018,86.0,83.0,26.72,81.0,83.0,7.0,27.18
United States,08 Jul  2018,76.0,74.0,25.48,76.0,75.0,6.0,25.36
Norway,08 Jul  2018,74.0,72.0,24.91,73.0,73.0,4.0,24.64
Paraguay,08 Jul  2018,75.0,72.0,27.96,74.0,73.0,4.0,30.64
Ukraine,08 Jul  2018,73.0,70.0,26.0,72.0,76.0,14.0,25.82
Poland,08 Jul  2018,83.0,76.0,26.43,78.0,80.0,5.0,27.0
Bulgaria,08 Jul  2018,69.0,67.0,26.87,63.0,67.0,5.0,26.27
Finland,08 Jul  2018,70.0,66.0,26.17,69.0,70.0,3.0,24.55
Scotland,08 Jul  2018,75.0,74.0,25.83,74.0,74.0,4.0,26.36
Romania,08 Jul  2018,74.0,69.0,26.04,71.0,72.0,5.0,27.09
Austria,08 Jul  2018,80.0,74.0,24.74,77.0,76.0,4.0,25.91
Wales,08 Jul  2018,76.0,74.0,25.65,76.0,75.0,4.0,27.18
Slovenia,08 Jul  2018,72.0,73.0,26.91,77.0,76.0,5.0,28.09
Ecuador,08 Jul  2018,74.0,69.0,24.48,70.0,71.0,5.0,24.55
Tunisia,08 Jul  2018,75.0,71.0,26.45,71.0,73.0,3.0,25.0
Northern Ireland,08 Jul  2018,74.0,72.0,27.09,73.0,73.0,2.0,28.18
Hungary,08 Jul  2018,73.0,74.0,26.61,72.0,73.0,4.0,26.36
China PR,08 Jul  2018,70.0,69.0,28.04,69.0,69.0,3.0,29.45
Netherlands,08 Jul  2018,80.0,79.0,24.3,79.0,79.0,8.0,23.82
Czech Republic,08 Jul  2018,73.0,72.0,24.83,74.0,73.0,5.0,25.0
South Africa,08 Jul  2018,71.0,70.0,25.78,70.0,71.0,4.0,26.91
New Zealand,08 Jul  2018,71.0,66.0,24.57,70.0,68.0,2.0,25.73
Côte d'Ivoire,08 Jul  2018,76.0,76.0,27.39,75.0,75.0,6.0,27.82
Chile,08 Jul  2018,78.0,77.0,29.35,80.0,78.0,7.0,29.73
Colombia,08 Jul  2018,82.0,77.0,27.15,79.0,79.0,7.0,26.0
Peru,08 Jul  2018,79.0,74.0,26.78,76.0,76.0,3.0,26.73
Egypt,08 Jul  2018,72.0,74.0,27.18,77.0,76.0,5.0,29.09
Venezuela,08 Jul  2018,76.0,72.0,24.09,72.0,73.0,2.0,24.36
Bolivia,08 Jul  2018,67.0,65.0,24.74,68.0,67.0,1.0,25.18
India,08 Jul  2018,61.0,61.0,24.91,60.0,61.0,1.0,25.45
Canada,08 Jul  2018,73.0,65.0,26.26,71.0,68.0,2.0,24.91
Saudi Arabia,08 Jul  2018,72.0,71.0,27.43,71.0,72.0,4.0,26.73
Iceland,08 Jul  2018,75.0,74.0,26.55,78.0,75.0,2.0,28.55
Morocco,08 Jul  2018,74.0,77.0,25.98,77.0,76.0,3.0,28.09
Senegal,08 Jul  2018,77.0,76.0,26.05,77.0,76.0,7.0,25.18
Japan,08 Jul  2018,76.0,74.0,27.0,77.0,75.0,5.0,28.27
Iran,08 Jul  2018,76.0,71.0,26.28,71.0,74.0,3.0,24.64
Costa Rica,08 Jul  2018,69.0,73.0,28.58,73.0,73.0,3.0,28.73
Panama,08 Jul  2018,68.0,68.0,26.98,68.0,69.0,1.0,27.45
Brazil,07 Jul  2018,87.0,84.0,27.43,86.0,86.0,10.0,27.55
England,07 Jul  2018,83.0,80.0,25.88,81.0,81.0,8.0,24.64
Italy,07 Jul  2018,81.0,82.0,25.96,81.0,82.0,9.0,27.36
Spain,07 Jul  2018,84.0,85.0,27.18,86.0,85.0,9.0,27.27
France,07 Jul  2018,86.0,81.0,25.05,84.0,85.0,9.0,24.09
Germany,07 Jul  2018,85.0,85.0,24.9,85.0,86.0,10.0,26.55
Argentina,07 Jul  2018,86.0,80.0,27.63,81.0,84.0,9.0,28.45
Portugal,07 Jul  2018,85.0,82.0,26.68,83.0,84.0,8.0,26.64
Turkey,07 Jul  2018,79.0,76.0,27.04,77.0,76.0,6.0,26.45
Nigeria,07 Jul  2018,75.0,73.0,24.53,75.0,75.0,4.0,23.55
Denmark,07 Jul  2018,77.0,76.0,25.95,79.0,78.0,5.0,25.82
Russia,07 Jul  2018,80.0,77.0,27.3,78.0,79.0,6.0,27.91
Mexico,07 Jul  2018,81.0,75.0,27.6,78.0,79.0,7.0,27.09
Uruguay,07 Jul  2018,86.0,80.0,26.88,77.0,80.0,7.0,25.91
Greece,07 Jul  2018,75.0,77.0,26.04,74.0,75.0,6.0,28.09
Croatia,07 Jul  2018,80.0,78.0,25.76,82.0,80.0,6.0,27.91
Cameroon,07 Jul  2018,80.0,73.0,25.22,72.0,75.0,5.0,24.45
Serbia,07 Jul  2018,75.0,76.0,25.45,79.0,78.0,6.0,26.0
Australia,07 Jul  2018,69.0,70.0,26.73,72.0,72.0,5.0,26.55
Switzerland,07 Jul  2018,75.0,77.0,25.66,78.0,78.0,5.0,26.36
Sweden,07 Jul  2018,78.0,76.0,26.24,76.0,77.0,5.0,26.82
Republic of Ireland,07 Jul  2018,75.0,75.0,26.7,75.0,75.0,5.0,27.64
Korea Republic,07 Jul  2018,74.0,70.0,26.48,74.0,73.0,5.0,26.18
Belgium,07 Jul  2018,86.0,83.0,26.72,81.0,83.0,7.0,27.18
United States,07 Jul  2018,76.0,74.0,25.48,76.0,75.0,6.0,25.36
Norway,07 Jul  2018,74.0,72.0,24.91,73.0,73.0,4.0,24.64
Paraguay,07 Jul  2018,75.0,72.0,27.96,74.0,73.0,4.0,30.64
Ukraine,07 Jul  2018,73.0,70.0,26.0,72.0,76.0,14.0,25.82
Poland,07 Jul  2018,83.0,76.0,26.43,78.0,80.0,5.0,27.0
Bulgaria,07 Jul  2018,69.0,67.0,26.87,63.0,67.0,5.0,26.27
Finland,07 Jul  2018,70.0,66.0,26.17,69.0,70.0,3.0,24.55
Scotland,07 Jul  2018,75.0,74.0,25.83,74.0,74.0,4.0,26.36
Romania,07 Jul  2018,74.0,69.0,26.04,71.0,72.0,5.0,27.09
Austria,07 Jul  2018,80.0,74.0,24.74,77.0,76.0,4.0,25.91
Wales,07 Jul  2018,76.0,74.0,25.65,76.0,75.0,4.0,27.18
Slovenia,07 Jul  2018,72.0,73.0,26.91,77.0,76.0,5.0,28.09
Ecuador,07 Jul  2018,74.0,69.0,24.48,70.0,71.0,5.0,24.55
Tunisia,07 Jul  2018,75.0,71.0,26.45,71.0,73.0,3.0,25.0
Northern Ireland,07 Jul  2018,74.0,72.0,27.09,73.0,73.0,2.0,28.18
Hungary,07 Jul  2018,73.0,74.0,26.61,72.0,73.0,4.0,26.36
China PR,07 Jul  2018,70.0,69.0,28.04,69.0,69.0,3.0,29.45
Netherlands,07 Jul  2018,80.0,79.0,24.3,79.0,79.0,8.0,23.82
Czech Republic,07 Jul  2018,73.0,72.0,24.83,74.0,73.0,5.0,25.0
South Africa,07 Jul  2018,71.0,70.0,25.78,70.0,71.0,4.0,26.91
New Zealand,07 Jul  2018,71.0,66.0,24.57,70.0,68.0,2.0,25.73
Côte d'Ivoire,07 Jul  2018,76.0,76.0,27.39,75.0,75.0,6.0,27.82
Chile,07 Jul  2018,78.0,77.0,29.35,80.0,78.0,7.0,29.73
Colombia,07 Jul  2018,82.0,77.0,27.15,79.0,79.0,7.0,26.0
Peru,07 Jul  2018,79.0,74.0,26.78,76.0,76.0,3.0,26.73
Egypt,07 Jul  2018,72.0,74.0,27.18,77.0,76.0,5.0,29.09
Venezuela,07 Jul  2018,76.0,72.0,24.09,72.0,73.0,2.0,24.36
Bolivia,07 Jul  2018,67.0,65.0,24.74,68.0,67.0,1.0,25.18
India,07 Jul  2018,61.0,61.0,24.91,60.0,61.0,1.0,25.45
Canada,07 Jul  2018,73.0,65.0,26.26,71.0,68.0,2.0,24.91
Saudi Arabia,07 Jul  2018,72.0,71.0,27.43,71.0,72.0,4.0,26.73
Iceland,07 Jul  2018,75.0,74.0,26.55,78.0,75.0,2.0,28.55
Morocco,07 Jul  2018,74.0,77.0,25.98,77.0,76.0,3.0,28.09
Senegal,07 Jul  2018,77.0,76.0,26.05,77.0,76.0,7.0,25.18
Japan,07 Jul  2018,76.0,74.0,27.0,77.0,75.0,5.0,28.27
Iran,07 Jul  2018,76.0,71.0,26.28,71.0,74.0,3.0,24.64
Costa Rica,07 Jul  2018,69.0,73.0,28.58,73.0,73.0,3.0,28.73
Panama,07 Jul  2018,68.0,68.0,26.98,68.0,69.0,1.0,27.45
Brazil,04 Jul  2018,87.0,84.0,27.43,86.0,86.0,10.0,27.09
England,04 Jul  2018,83.0,80.0,25.88,81.0,81.0,8.0,24.64
Italy,04 Jul  2018,81.0,82.0,25.96,81.0,82.0,9.0,27.36
Spain,04 Jul  2018,84.0,85.0,27.18,86.0,85.0,9.0,27.27
France,04 Jul  2018,84.0,81.0,25.05,85.0,85.0,9.0,24.82
Germany,04 Jul  2018,85.0,85.0,24.9,85.0,86.0,10.0,26.55
Argentina,04 Jul  2018,86.0,80.0,27.63,81.0,84.0,9.0,28.45
Portugal,04 Jul  2018,85.0,82.0,26.68,83.0,84.0,8.0,26.64
Turkey,04 Jul  2018,79.0,76.0,27.04,77.0,76.0,6.0,26.45
Nigeria,04 Jul  2018,75.0,73.0,24.53,75.0,75.0,4.0,23.55
Denmark,04 Jul  2018,77.0,76.0,25.95,79.0,78.0,5.0,25.82
Russia,04 Jul  2018,80.0,77.0,27.3,78.0,79.0,6.0,27.91
Mexico,04 Jul  2018,81.0,75.0,27.6,78.0,79.0,7.0,27.09
Uruguay,04 Jul  2018,86.0,80.0,26.88,77.0,80.0,7.0,25.91
Greece,04 Jul  2018,75.0,77.0,26.04,74.0,75.0,6.0,28.09
Croatia,04 Jul  2018,80.0,78.0,25.76,82.0,80.0,6.0,27.91
Cameroon,04 Jul  2018,80.0,73.0,25.22,72.0,75.0,5.0,24.45
Serbia,04 Jul  2018,75.0,76.0,25.45,79.0,78.0,6.0,26.0
Australia,04 Jul  2018,69.0,70.0,26.73,72.0,72.0,5.0,26.55
Switzerland,04 Jul  2018,75.0,77.0,25.66,78.0,78.0,5.0,26.36
Sweden,04 Jul  2018,78.0,77.0,26.24,76.0,77.0,5.0,27.36
