team,date,bup_speed,bup_dribbling,bup_passing,cc_passing,cc_crossing,cc_shooting,d_pressure,d_aggresion,d_width
Costa Rica,2018-07-15 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-07-15 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-07-12 00:00:00+00:00,51,73.0,50,39,33,67,76,73,63
England,2018-07-12 00:00:00+00:00,36,20.0,39,31,41,41,43,55,49
Italy,2018-07-12 00:00:00+00:00,73,60.0,67,64,80,78,29,26,32
Spain,2018-07-12 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-07-12 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-07-12 00:00:00+00:00,28,54.0,34,20,40,26,66,60,60
Argentina,2018-07-12 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-07-12 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-07-12 00:00:00+00:00,37,51.0,37,32,62,52,66,62,52
Nigeria,2018-07-12 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-07-12 00:00:00+00:00,50,42.0,53,68,42,45,68,62,52
Russia,2018-07-12 00:00:00+00:00,50,77.0,49,63,37,46,44,43,46
Mexico,2018-07-12 00:00:00+00:00,40,24.0,40,40,60,60,68,60,40
Uruguay,2018-07-12 00:00:00+00:00,38,42.0,36,33,43,43,44,67,61
Greece,2018-07-12 00:00:00+00:00,71,41.0,67,71,71,71,25,27,20
Croatia,2018-07-12 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-07-12 00:00:00+00:00,38,52.0,37,33,53,53,59,73,63
Serbia,2018-07-12 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-07-12 00:00:00+00:00,49,46.0,49,52,46,66,43,52,66
Switzerland,2018-07-12 00:00:00+00:00,53,55.0,53,59,55,60,46,59,60
Sweden,2018-07-12 00:00:00+00:00,53,55.0,52,59,55,54,66,65,35
Republic of Ireland,2018-07-12 00:00:00+00:00,53,35.0,50,31,35,67,67,65,55
Korea Republic,2018-07-12 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2018-07-12 00:00:00+00:00,36,50.0,36,36,66,56,75,66,36
United States,2018-07-12 00:00:00+00:00,52,34.0,51,70,34,58,48,50,58
Norway,2018-07-12 00:00:00+00:00,72,55.0,70,79,55,61,46,49,51
Paraguay,2018-07-12 00:00:00+00:00,49,76.0,50,57,76,42,58,76,46
Ukraine,2018-07-12 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2018-07-12 00:00:00+00:00,49,56.0,52,52,56,34,46,32,34
Bulgaria,2018-07-12 00:00:00+00:00,51,43.0,50,55,43,47,49,35,47
Finland,2018-07-12 00:00:00+00:00,66,35.0,66,69,35,77,29,24,25
Scotland,2018-07-12 00:00:00+00:00,53,45.0,50,49,45,47,44,49,47
Romania,2018-07-12 00:00:00+00:00,50,77.0,50,63,77,47,49,43,47
Austria,2018-07-12 00:00:00+00:00,40,54.0,39,40,40,40,66,70,50
Wales,2018-07-12 00:00:00+00:00,72,49.0,68,63,49,67,44,33,57
Slovenia,2018-07-12 00:00:00+00:00,38,42.0,36,38,58,58,74,58,48
Ecuador,2018-07-12 00:00:00+00:00,52,69.0,53,47,69,35,59,79,59
Tunisia,2018-07-12 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2018-07-12 00:00:00+00:00,66,35.0,68,69,35,75,75,55,55
Hungary,2018-07-12 00:00:00+00:00,72,37.0,68,65,37,63,43,35,33
China PR,2018-07-12 00:00:00+00:00,51,48.0,50,54,68,57,49,34,57
Netherlands,2018-07-12 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-07-12 00:00:00+00:00,68,41.0,71,75,41,62,75,51,41
South Africa,2018-07-12 00:00:00+00:00,38,37.0,36,38,78,48,27,30,36
New Zealand,2018-07-12 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-07-12 00:00:00+00:00,69,36.0,73,71,76,72,60,76,66
Chile,2018-07-12 00:00:00+00:00,40,44.0,38,35,45,45,68,65,35
Colombia,2018-07-12 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-07-12 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-07-12 00:00:00+00:00,52,34.0,49,58,64,31,44,58,31
Venezuela,2018-07-12 00:00:00+00:00,72,40.0,71,50,40,70,29,20,31
Bolivia,2018-07-12 00:00:00+00:00,50,52.0,52,53,72,64,47,33,64
India,2018-07-12 00:00:00+00:00,73,48.0,71,63,48,66,45,33,36
Canada,2018-07-12 00:00:00+00:00,53,60.0,51,64,70,48,44,44,48
Saudi Arabia,2018-07-12 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-07-12 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-07-12 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-07-12 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-07-12 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-07-12 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2018-07-12 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-07-12 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-07-11 00:00:00+00:00,51,73.0,50,39,33,67,76,73,63
England,2018-07-11 00:00:00+00:00,36,20.0,39,31,41,41,43,55,49
Italy,2018-07-11 00:00:00+00:00,73,60.0,67,64,80,78,29,26,32
Spain,2018-07-11 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-07-11 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-07-11 00:00:00+00:00,28,54.0,34,20,40,26,66,60,60
Argentina,2018-07-11 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-07-11 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-07-11 00:00:00+00:00,37,51.0,37,32,62,52,66,62,52
Nigeria,2018-07-11 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-07-11 00:00:00+00:00,50,42.0,53,68,42,45,68,62,52
Russia,2018-07-11 00:00:00+00:00,50,77.0,49,63,37,46,44,43,46
Mexico,2018-07-11 00:00:00+00:00,40,24.0,40,40,60,60,68,60,40
Uruguay,2018-07-11 00:00:00+00:00,38,42.0,36,33,43,43,44,67,61
Greece,2018-07-11 00:00:00+00:00,71,41.0,67,71,71,71,25,27,20
Croatia,2018-07-11 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-07-11 00:00:00+00:00,38,52.0,37,33,53,53,59,73,63
Serbia,2018-07-11 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-07-11 00:00:00+00:00,49,46.0,49,52,46,66,43,52,66
Switzerland,2018-07-11 00:00:00+00:00,53,55.0,53,59,55,60,46,59,60
Sweden,2018-07-11 00:00:00+00:00,53,55.0,52,59,55,54,66,65,35
Republic of Ireland,2018-07-11 00:00:00+00:00,53,35.0,50,31,35,67,67,65,55
Korea Republic,2018-07-11 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2018-07-11 00:00:00+00:00,36,50.0,36,36,66,56,75,66,36
United States,2018-07-11 00:00:00+00:00,52,34.0,51,70,34,58,48,50,58
Norway,2018-07-11 00:00:00+00:00,72,55.0,70,79,55,61,46,49,51
Paraguay,2018-07-11 00:00:00+00:00,49,76.0,50,57,76,42,58,76,46
Ukraine,2018-07-11 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2018-07-11 00:00:00+00:00,49,56.0,52,52,56,34,46,32,34
Bulgaria,2018-07-11 00:00:00+00:00,51,43.0,50,55,43,47,49,35,47
Finland,2018-07-11 00:00:00+00:00,66,35.0,66,69,35,77,29,24,25
Scotland,2018-07-11 00:00:00+00:00,53,45.0,50,49,45,47,44,49,47
Romania,2018-07-11 00:00:00+00:00,50,77.0,50,63,77,47,49,43,47
Austria,2018-07-11 00:00:00+00:00,40,54.0,39,40,40,40,66,70,50
Wales,2018-07-11 00:00:00+00:00,72,49.0,68,63,49,67,44,33,57
Slovenia,2018-07-11 00:00:00+00:00,38,42.0,36,38,58,58,74,58,48
Ecuador,2018-07-11 00:00:00+00:00,52,69.0,53,47,69,35,59,79,59
Tunisia,2018-07-11 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2018-07-11 00:00:00+00:00,66,35.0,68,69,35,75,75,55,55
Hungary,2018-07-11 00:00:00+00:00,72,37.0,68,65,37,63,43,35,33
China PR,2018-07-11 00:00:00+00:00,51,48.0,50,54,68,57,49,34,57
Netherlands,2018-07-11 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-07-11 00:00:00+00:00,68,41.0,71,75,41,62,75,51,41
South Africa,2018-07-11 00:00:00+00:00,38,37.0,36,38,78,48,27,30,36
New Zealand,2018-07-11 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-07-11 00:00:00+00:00,69,36.0,73,71,76,72,60,76,66
Chile,2018-07-11 00:00:00+00:00,40,44.0,38,35,45,45,68,65,35
Colombia,2018-07-11 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-07-11 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-07-11 00:00:00+00:00,52,34.0,49,58,64,31,44,58,31
Venezuela,2018-07-11 00:00:00+00:00,72,40.0,71,50,40,70,29,20,31
Bolivia,2018-07-11 00:00:00+00:00,50,52.0,52,53,72,64,47,33,64
India,2018-07-11 00:00:00+00:00,73,48.0,71,63,48,66,45,33,36
Canada,2018-07-11 00:00:00+00:00,53,60.0,51,64,70,48,44,44,48
Saudi Arabia,2018-07-11 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-07-11 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-07-11 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-07-11 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-07-11 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-07-11 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2018-07-11 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-07-11 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-07-08 00:00:00+00:00,51,73.0,50,39,33,67,76,73,63
England,2018-07-08 00:00:00+00:00,36,20.0,39,31,41,41,43,55,49
Italy,2018-07-08 00:00:00+00:00,73,60.0,67,64,80,78,29,26,32
Spain,2018-07-08 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-07-08 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-07-08 00:00:00+00:00,28,54.0,34,20,40,26,66,60,60
Argentina,2018-07-08 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-07-08 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-07-08 00:00:00+00:00,37,51.0,37,32,62,52,66,62,52
Nigeria,2018-07-08 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-07-08 00:00:00+00:00,50,42.0,53,68,42,45,68,62,52
Russia,2018-07-08 00:00:00+00:00,50,77.0,49,63,37,46,44,43,46
Mexico,2018-07-08 00:00:00+00:00,40,24.0,40,40,60,60,68,60,40
Uruguay,2018-07-08 00:00:00+00:00,38,42.0,36,33,43,43,44,67,61
Greece,2018-07-08 00:00:00+00:00,71,41.0,67,71,71,71,25,27,20
Croatia,2018-07-08 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-07-08 00:00:00+00:00,38,52.0,37,33,53,53,59,73,63
Serbia,2018-07-08 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-07-08 00:00:00+00:00,49,46.0,49,52,46,66,43,52,66
Switzerland,2018-07-08 00:00:00+00:00,53,55.0,53,59,55,60,46,59,60
Sweden,2018-07-08 00:00:00+00:00,53,55.0,52,59,55,54,66,65,35
Republic of Ireland,2018-07-08 00:00:00+00:00,53,35.0,50,31,35,67,67,65,55
Korea Republic,2018-07-08 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2018-07-08 00:00:00+00:00,36,50.0,36,36,66,56,75,66,36
United States,2018-07-08 00:00:00+00:00,52,34.0,51,70,34,58,48,50,58
Norway,2018-07-08 00:00:00+00:00,72,55.0,70,79,55,61,46,49,51
Paraguay,2018-07-08 00:00:00+00:00,49,76.0,50,57,76,42,58,76,46
Ukraine,2018-07-08 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2018-07-08 00:00:00+00:00,49,56.0,52,52,56,34,46,32,34
Bulgaria,2018-07-08 00:00:00+00:00,51,43.0,50,55,43,47,49,35,47
Finland,2018-07-08 00:00:00+00:00,66,35.0,66,69,35,77,29,24,25
Scotland,2018-07-08 00:00:00+00:00,53,45.0,50,49,45,47,44,49,47
Romania,2018-07-08 00:00:00+00:00,50,77.0,50,63,77,47,49,43,47
Austria,2018-07-08 00:00:00+00:00,40,54.0,39,40,40,40,66,70,50
Wales,2018-07-08 00:00:00+00:00,72,49.0,68,63,49,67,44,33,57
Slovenia,2018-07-08 00:00:00+00:00,38,42.0,36,38,58,58,74,58,48
Ecuador,2018-07-08 00:00:00+00:00,52,69.0,53,47,69,35,59,79,59
Tunisia,2018-07-08 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2018-07-08 00:00:00+00:00,66,35.0,68,69,35,75,75,55,55
Hungary,2018-07-08 00:00:00+00:00,72,37.0,68,65,37,63,43,35,33
China PR,2018-07-08 00:00:00+00:00,51,48.0,50,54,68,57,49,34,57
Netherlands,2018-07-08 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-07-08 00:00:00+00:00,68,41.0,71,75,41,62,75,51,41
South Africa,2018-07-08 00:00:00+00:00,38,37.0,36,38,78,48,27,30,36
New Zealand,2018-07-08 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-07-08 00:00:00+00:00,69,36.0,73,71,76,72,60,76,66
Chile,2018-07-08 00:00:00+00:00,40,44.0,38,35,45,45,68,65,35
Colombia,2018-07-08 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-07-08 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-07-08 00:00:00+00:00,52,34.0,49,58,64,31,44,58,31
Venezuela,2018-07-08 00:00:00+00:00,72,40.0,71,50,40,70,29,20,31
Bolivia,2018-07-08 00:00:00+00:00,50,52.0,52,53,72,64,47,33,64
India,2018-07-08 00:00:00+00:00,73,48.0,71,63,48,66,45,33,36
Canada,2018-07-08 00:00:00+00:00,53,60.0,51,64,70,48,44,44,48
Saudi Arabia,2018-07-08 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-07-08 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-07-08 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-07-08 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-07-08 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-07-08 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2018-07-08 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-07-08 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-07-07 00:00:00+00:00,51,73.0,50,39,33,67,76,73,63
England,2018-07-07 00:00:00+00:00,36,20.0,39,31,41,41,43,55,49
Italy,2018-07-07 00:00:00+00:00,73,60.0,67,64,80,78,29,26,32
Spain,2018-07-07 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-07-07 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-07-07 00:00:00+00:00,28,54.0,34,20,40,26,66,60,60
Argentina,2018-07-07 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-07-07 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-07-07 00:00:00+00:00,37,51.0,37,32,62,52,66,62,52
Nigeria,2018-07-07 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-07-07 00:00:00+00:00,50,42.0,53,68,42,45,68,62,52
Russia,2018-07-07 00:00:00+00:00,50,77.0,49,63,37,46,44,43,46
Mexico,2018-07-07 00:00:00+00:00,40,24.0,40,40,60,60,68,60,40
Uruguay,2018-07-07 00:00:00+00:00,38,42.0,36,33,43,43,44,67,61
Greece,2018-07-07 00:00:00+00:00,71,41.0,67,71,71,71,25,27,20
Croatia,2018-07-07 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-07-07 00:00:00+00:00,38,52.0,37,33,53,53,59,73,63
Serbia,2018-07-07 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-07-07 00:00:00+00:00,49,46.0,49,52,46,66,43,52,66
Switzerland,2018-07-07 00:00:00+00:00,53,55.0,53,59,55,60,46,59,60
Sweden,2018-07-07 00:00:00+00:00,53,55.0,52,59,55,54,66,65,35
Republic of Ireland,2018-07-07 00:00:00+00:00,53,35.0,50,31,35,67,67,65,55
Korea Republic,2018-07-07 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2018-07-07 00:00:00+00:00,36,50.0,36,36,66,56,75,66,36
United States,2018-07-07 00:00:00+00:00,52,34.0,51,70,34,58,48,50,58
Norway,2018-07-07 00:00:00+00:00,72,55.0,70,79,55,61,46,49,51
Paraguay,2018-07-07 00:00:00+00:00,49,76.0,50,57,76,42,58,76,46
Ukraine,2018-07-07 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2018-07-07 00:00:00+00:00,49,56.0,52,52,56,34,46,32,34
Bulgaria,2018-07-07 00:00:00+00:00,51,43.0,50,55,43,47,49,35,47
Finland,2018-07-07 00:00:00+00:00,66,35.0,66,69,35,77,29,24,25
Scotland,2018-07-07 00:00:00+00:00,53,45.0,50,49,45,47,44,49,47
Romania,2018-07-07 00:00:00+00:00,50,77.0,50,63,77,47,49,43,47
Austria,2018-07-07 00:00:00+00:00,40,54.0,39,40,40,40,66,70,50
Wales,2018-07-07 00:00:00+00:00,72,49.0,68,63,49,67,44,33,57
Slovenia,2018-07-07 00:00:00+00:00,38,42.0,36,38,58,58,74,58,48
Ecuador,2018-07-07 00:00:00+00:00,52,69.0,53,47,69,35,59,79,59
Tunisia,2018-07-07 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2018-07-07 00:00:00+00:00,66,35.0,68,69,35,75,75,55,55
Hungary,2018-07-07 00:00:00+00:00,72,37.0,68,65,37,63,43,35,33
China PR,2018-07-07 00:00:00+00:00,51,48.0,50,54,68,57,49,34,57
Netherlands,2018-07-07 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-07-07 00:00:00+00:00,68,41.0,71,75,41,62,75,51,41
South Africa,2018-07-07 00:00:00+00:00,38,37.0,36,38,78,48,27,30,36
New Zealand,2018-07-07 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-07-07 00:00:00+00:00,69,36.0,73,71,76,72,60,76,66
Chile,2018-07-07 00:00:00+00:00,40,44.0,38,35,45,45,68,65,35
Colombia,2018-07-07 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-07-07 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-07-07 00:00:00+00:00,52,34.0,49,58,64,31,44,58,31
Venezuela,2018-07-07 00:00:00+00:00,72,40.0,71,50,40,70,29,20,31
Bolivia,2018-07-07 00:00:00+00:00,50,52.0,52,53,72,64,47,33,64
India,2018-07-07 00:00:00+00:00,73,48.0,71,63,48,66,45,33,36
Canada,2018-07-07 00:00:00+00:00,53,60.0,51,64,70,48,44,44,48
Saudi Arabia,2018-07-07 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-07-07 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-07-07 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-07-07 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-07-07 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-07-07 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2018-07-07 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-07-07 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-07-04 00:00:00+00:00,51,73.0,50,39,33,67,76,73,63
England,2018-07-04 00:00:00+00:00,36,20.0,39,31,41,41,43,55,49
Italy,2018-07-04 00:00:00+00:00,73,60.0,67,64,80,78,29,26,32
Spain,2018-07-04 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-07-04 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-07-04 00:00:00+00:00,28,54.0,34,20,40,26,66,60,60
Argentina,2018-07-04 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-07-04 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-07-04 00:00:00+00:00,37,51.0,37,32,62,52,66,62,52
Nigeria,2018-07-04 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-07-04 00:00:00+00:00,50,42.0,53,68,42,45,68,62,52
Russia,2018-07-04 00:00:00+00:00,50,77.0,49,63,37,46,44,43,46
Mexico,2018-07-04 00:00:00+00:00,40,24.0,40,40,60,60,68,60,40
Uruguay,2018-07-04 00:00:00+00:00,38,42.0,36,33,43,43,44,67,61
Greece,2018-07-04 00:00:00+00:00,71,41.0,67,71,71,71,25,27,20
Croatia,2018-07-04 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-07-04 00:00:00+00:00,38,52.0,37,33,53,53,59,73,63
Serbia,2018-07-04 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-07-04 00:00:00+00:00,49,46.0,49,52,46,66,43,52,66
